model,rep,fold,accuracy,macro_f1,qwk,balanced_acc,mae_level,mae_months,tolerance_acc
svm,tfidf,4,0.5766666666666667,0.44640111516082404,0.3042261817110882,0.4944782250127579,0.6233333333333333,4.226666666666667,0.8133333333333334
logreg,structured,4,0.34,0.319326309939742,0.18782357063730692,0.47227550667055485,0.95,6.566666666666666,0.7433333333333333
logreg,tfidf,4,0.49666666666666665,0.4451295357015228,0.36919153527377946,0.5694646046615773,0.7033333333333334,4.85,0.82
random_forest,structured,4,0.5933333333333334,0.40289037906632874,0.24867413081909262,0.43224225153355067,0.6,4.1,0.8233333333333334
random_forest,tfidf,4,0.68,0.3985980081638184,0.2325166659589828,0.414058675887064,0.4766666666666667,3.2466666666666666,0.85
lightgbm,structured,4,0.5833333333333334,0.37393422972691265,0.14495114006514664,0.38240551674668555,0.6466666666666666,4.42,0.8
lightgbm,tfidf,4,0.68,0.41296297074693805,0.3094500711475684,0.40954028304293943,0.4533333333333333,3.1166666666666667,0.8733333333333333
baseline_majority,-,5,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,5,0.5,0.255278834757657,-0.01104294478527601,0.2569671764054459,0.7666666666666667,5.22,0.77
svm,structured,5,0.33666666666666667,0.3479613592290534,0.25854383358098065,0.5162489414370399,0.97,6.773333333333333,0.7333333333333333
svm,tfidf,5,0.6233333333333333,0.45741770172848084,0.353437876960193,0.4854279647905674,0.54,3.6966666666666668,0.85
logreg,structured,5,0.3433333333333333,0.32249346467789897,0.21278385197645078,0.4769075508110221,0.9333333333333333,6.486666666666666,0.76
logreg,tfidf,5,0.5233333333333333,0.45386482493890146,0.3286290322580645,0.561437874568432,0.6766666666666666,4.6866666666666665,0.8166666666666667
random_forest,structured,5,0.64,0.43462489798563797,0.35812672176308535,0.4789865073936551,0.49666666666666665,3.44,0.8666666666666667
random_forest,tfidf,5,0.72,0.4365718070636103,0.3711340206185567,0.441827893948277,0.39,2.67,0.89
lightgbm,structured,5,0.61,0.40114833062786015,0.25126903553299496,0.38452146847110935,0.5766666666666667,4.016666666666667,0.83
lightgbm,tfidf,5,0.6933333333333334,0.39682244279018475,0.24742268041237114,0.3841270519835841,0.44333333333333336,3.013333333333333,0.87
baseline_majority,-,6,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,6,0.4866666666666667,0.2302201342614536,0.024390243902439046,0.23280038759689922,0.7866666666666666,5.403333333333333,0.76
svm,structured,6,0.3566666666666667,0.32309392726059394,0.2233502538071066,0.4436808880528956,0.91,6.336666666666667,0.7766666666666666
svm,tfidf,6,0.6033333333333334,0.4623013530649843,0.42789034564958284,0.5111052415152108,0.5266666666666666,3.61,0.8766666666666667
logreg,structured,6,0.33,0.29768316950299284,0.22898032200357776,0.44497101166047814,0.91,6.33,0.7833333333333333
logreg,tfidf,6,0.53,0.4414239601813522,0.38702928870292885,0.5364395031268321,0.63,4.35,0.8533333333333334
random_forest,structured,6,0.6,0.3943272358526596,0.2605263157894737,0.4066968357110286,0.57,3.8866666666666667,0.8433333333333334
random_forest,tfidf,6,0.6666666666666666,0.3710702312534209,0.2801358234295416,0.4073670892775715,0.4533333333333333,3.1,0.8866666666666667
lightgbm,structured,6,0.62,0.3952195558172885,0.2632944228274967,0.38300436453651227,0.56,3.8133333333333335,0.8333333333333334
lightgbm,tfidf,6,0.6866666666666666,0.39466456982441633,0.3064798598949212,0.39585623493583477,0.4266666666666667,2.93,0.89
baseline_majority,-,7,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1633333333333336,0.8566666666666667
baseline_random,-,7,0.51,0.2603196138821657,0.018669595230624392,0.26113321321821725,0.77,5.28,0.75
svm,structured,7,0.33,0.3230454340980657,0.23443931645253835,0.4581584547502751,0.97,6.74,0.7333333333333333
svm,tfidf,7,0.5666666666666667,0.39913038649976407,0.31276274303730955,0.42385014077075023,0.59,4.056666666666667,0.8566666666666667
logreg,structured,7,0.33,0.2949247555750577,0.2604077559167379,0.4247692297010661,0.8966666666666666,6.246666666666667,0.79
logreg,tfidf,7,0.5233333333333333,0.44738630787354655,0.33548457667906373,0.5506800737354066,0.66,4.583333333333333,0.8433333333333334
random_forest,structured,7,0.5966666666666667,0.35781784866141736,0.23205432205216647,0.3900174271064407,0.5766666666666667,3.953333333333333,0.84
random_forest,tfidf,7,0.6566666666666666,0.3125,0.2293054234062798,0.3173807614465193,0.4666666666666667,3.1866666666666665,0.88
lightgbm,structured,7,0.5933333333333334,0.39633529154923985,0.16666666666666663,0.39457815640654453,0.63,4.326666666666667,0.7966666666666666
lightgbm,tfidf,7,0.6566666666666666,0.33543730281018413,0.2308553515450068,0.3283074183234568,0.4766666666666667,3.283333333333333,0.8766666666666667
baseline_majority,-,8,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,8,0.47333333333333333,0.24049035361494803,-0.04922030417762957,0.2417932095470688,0.82,5.573333333333333,0.73
svm,structured,8,0.33,0.31873632549359576,0.2576327896277708,0.44303446778762534,0.9766666666666667,6.776666666666666,0.7266666666666667
svm,tfidf,8,0.6133333333333333,0.4442587227017617,0.33375634517766506,0.4721543555181787,0.56,3.82,0.84
logreg,structured,8,0.35333333333333333,0.3316256132465678,0.23216254528272162,0.48791905768649957,0.9166666666666666,6.3133333333333335,0.76
logreg,tfidf,8,0.5233333333333333,0.41463361511436747,0.2328280686877252,0.4789102612503775,0.7266666666666667,4.973333333333334,0.78
random_forest,structured,8,0.6066666666666667,0.39295425886947166,0.3481460713534731,0.40521944224580553,0.5333333333333333,3.67,0.8666666666666667
random_forest,tfidf,8,0.6933333333333334,0.40522307855946255,0.3653774714161885,0.39781734279153086,0.43,2.9433333333333334,0.88
lightgbm,structured,8,0.6133333333333333,0.38531911531115987,0.3255395683453237,0.38342118486966126,0.54,3.736666666666667,0.8566666666666667
lightgbm,tfidf,8,0.6833333333333333,0.3927022944239587,0.3523658472112081,0.37585708948228996,0.4266666666666667,2.9033333333333333,0.8933333333333333
baseline_majority,-,9,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,9,0.5033333333333333,0.25321256464015557,0.017209103747249488,0.2524950302804653,0.7566666666666667,5.14,0.7666666666666667
svm,structured,9,0.38,0.40463741458570596,0.3655634436556344,0.6069607642758204,0.87,6.1066666666666665,0.77
svm,tfidf,9,0.6233333333333333,0.477102973168963,0.29109656950228036,0.5233402698945,0.56,3.8333333333333335,0.83
logreg,structured,9,0.34,0.33336180993319997,0.24295389993445482,0.5128679773013674,0.9333333333333333,6.49,0.7566666666666667
logreg,tfidf,9,0.52,0.4439344197841514,0.3437084625609216,0.5445310628625585,0.66,4.6,0.8366666666666667
random_forest,structured,9,0.62,0.4273040124419568,0.2904109589041096,0.45577771391599575,0.5366666666666666,3.6966666666666668,0.85
random_forest,tfidf,9,0.6833333333333333,0.3642037786774629,0.22274225130139935,0.36462965663045854,0.45,3.05,0.87
lightgbm,structured,9,0.5966666666666667,0.35776973430764986,0.2241103487503998,0.3509396577760652,0.5833333333333334,4.036666666666667,0.8333333333333334
lightgbm,tfidf,9,0.6566666666666666,0.32234987542364596,0.2279755804108552,0.3227644886689093,0.48333333333333334,3.3233333333333333,0.8633333333333333
baseline_majority,-,10,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,10,0.52,0.28556724196259076,0.04611650485436891,0.2862700312683213,0.7366666666666667,5.02,0.7733333333333333
svm,structured,10,0.33,0.32936868686868687,0.2425855513307985,0.4659962095303237,0.98,6.79,0.72
svm,tfidf,10,0.5866666666666667,0.40102708536443477,0.28398058252427183,0.4236496197316135,0.59,4.076666666666667,0.8433333333333334
logreg,structured,10,0.3466666666666667,0.3197310606060606,0.19611307420494695,0.46236910461859165,0.9166666666666666,6.403333333333333,0.7733333333333333
logreg,tfidf,10,0.51,0.40180950564157936,0.29645093945720247,0.472203052732721,0.6833333333333333,4.736666666666666,0.8333333333333334
random_forest,structured,10,0.5933333333333334,0.3686829783652028,0.2618724559023067,0.38189490912644125,0.5666666666666667,3.9,0.85
random_forest,tfidf,10,0.6633333333333333,0.3316271240515206,0.19039451114922812,0.34356831395348836,0.48,3.283333333333333,0.8666666666666667
lightgbm,structured,10,0.5966666666666667,0.3543452365667788,0.19999999999999996,0.3485878362973096,0.5866666666666667,4.053333333333334,0.83
lightgbm,tfidf,10,0.6933333333333334,0.4107246830921052,0.34098360655737703,0.3993947869845612,0.42333333333333334,2.9266666666666667,0.89
baseline_majority,-,11,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,11,0.53,0.2557702695118436,-0.06176084099868584,0.2563249136864048,0.74,5.01,0.7633333333333333
svm,structured,11,0.36,0.36331042167255323,0.23112840466926066,0.5130605294443359,0.9533333333333334,6.61,0.72
svm,tfidf,11,0.6433333333333333,0.5001274579605194,0.38077403245942576,0.5379927407009315,0.5066666666666667,3.51,0.86
logreg,structured,11,0.3933333333333333,0.3699532030132694,0.2674825174825175,0.5283201216533124,0.85,5.91,0.7866666666666666
logreg,tfidf,11,0.5666666666666667,0.48793568771134493,0.33537832310838445,0.5951317300175885,0.63,4.376666666666667,0.8333333333333334
random_forest,structured,11,0.6233333333333333,0.3738370606304845,0.2120300751879699,0.39393046462771153,0.54,3.683333333333333,0.84
random_forest,tfidf,11,0.6933333333333334,0.3983918128654971,0.3014184397163121,0.3882193138883461,0.42333333333333334,2.8966666666666665,0.8833333333333333
lightgbm,structured,11,0.5766666666666667,0.3305321837674779,0.1657894736842105,0.32436964611425967,0.6233333333333333,4.28,0.8166666666666667
lightgbm,tfidf,11,0.6833333333333333,0.3629335379335379,0.2908777969018933,0.3525050281740603,0.44,3.013333333333333,0.8766666666666667
baseline_majority,-,12,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1633333333333336,0.8566666666666667
baseline_random,-,12,0.5233333333333333,0.3020635903796409,0.029044808156694413,0.30849883877149314,0.7333333333333333,4.976666666666667,0.7633333333333333
svm,structured,12,0.38,0.3807971364591121,0.358775307415228,0.547223292612226,0.8566666666666667,6.046666666666667,0.7866666666666666
svm,tfidf,12,0.6066666666666667,0.43748369814246946,0.3508033438074346,0.46692842041679256,0.5733333333333334,3.94,0.84
logreg,structured,12,0.33666666666666667,0.31443198589834603,0.3077133979162858,0.470432067264465,0.88,6.1866666666666665,0.8
logreg,tfidf,12,0.5,0.40797798108576727,0.29876184653011295,0.48924518411286655,0.7233333333333334,4.993333333333333,0.8033333333333333
random_forest,structured,12,0.66,0.4379178780403026,0.3924418604651163,0.46728946007213845,0.45666666666666667,3.1633333333333336,0.8866666666666667
random_forest,tfidf,12,0.7033333333333334,0.40218513026754743,0.32506135805835834,0.40022721197540767,0.41333333333333333,2.8366666666666664,0.89
lightgbm,structured,12,0.6333333333333333,0.4133962264150944,0.30606403514610936,0.4053833095533176,0.5466666666666666,3.78,0.83
lightgbm,tfidf,12,0.68,0.38257134628147815,0.2593627724986026,0.3732768167411311,0.44666666666666666,3.0833333333333335,0.8766666666666667
baseline_majority,-,13,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,13,0.4866666666666667,0.22576606400135812,-0.09290953545232283,0.226009142721753,0.81,5.503333333333333,0.7466666666666667
svm,structured,13,0.34,0.3260189664189509,0.24377871561921793,0.4721723369853883,0.95,6.6066666666666665,0.7533333333333333
svm,tfidf,13,0.5933333333333334,0.4681048518678098,0.37108388665482095,0.5331701115143878,0.5633333333333334,3.8266666666666667,0.8533333333333334
logreg,structured,13,0.27,0.26961516779562644,0.19389166755347453,0.45706684679594667,1.0233333333333334,7.056666666666667,0.7433333333333333
logreg,tfidf,13,0.5266666666666666,0.45431069835747373,0.34948675101456195,0.5673223691404826,0.6633333333333333,4.536666666666667,0.8333333333333334
random_forest,structured,13,0.5933333333333334,0.4028426128975448,0.3407326333071109,0.44695678719836696,0.55,3.776666666666667,0.8666666666666667
random_forest,tfidf,13,0.6833333333333333,0.37529739972628695,0.3556401801885478,0.37837693581478665,0.4166666666666667,2.83,0.9
lightgbm,structured,13,0.59,0.3866316071369192,0.1837435042651241,0.3924808338714213,0.6233333333333333,4.29,0.8166666666666667
lightgbm,tfidf,13,0.68,0.40936748659361705,0.3500065989177774,0.41412270943771545,0.43,2.933333333333333,0.8933333333333333
baseline_majority,-,14,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,14,0.4866666666666667,0.24508351268004547,-0.014312285236909306,0.24530610478134535,0.7966666666666666,5.43,0.75
svm,structured,14,0.31,0.3125189013884666,0.2413492530052097,0.46390370981264123,0.99,6.903333333333333,0.7366666666666667
svm,tfidf,14,0.5966666666666667,0.4523569023569024,0.28523734369309217,0.491735278304294,0.6066666666666667,4.113333333333333,0.8133333333333334
logreg,structured,14,0.3333333333333333,0.30244945383039146,0.21297033985113023,0.4328351517668378,0.9366666666666666,6.48,0.76
logreg,tfidf,14,0.48,0.4191857372162004,0.295151439611118,0.5408407938793364,0.75,5.156666666666666,0.7933333333333333
random_forest,structured,14,0.5833333333333334,0.3495914829359949,0.2697071668933916,0.3621412982066049,0.5733333333333334,3.933333333333333,0.8533333333333334
random_forest,tfidf,14,0.67,0.38530231112234437,0.26168464304057537,0.3911311660973349,0.47333333333333333,3.203333333333333,0.86
lightgbm,structured,14,0.5766666666666667,0.3362492584329749,0.23330712161099532,0.3374154789677043,0.6033333333333334,4.166666666666667,0.8366666666666667
lightgbm,tfidf,14,0.6766666666666666,0.36597467153806545,0.286217835741981,0.35764820959914184,0.4533333333333333,3.0766666666666667,0.8733333333333333
baseline_majority,-,15,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,15,0.49333333333333335,0.2225667068724953,-0.051724137931034475,0.2235796935053091,0.7966666666666666,5.41,0.7333333333333333
svm,structured,15,0.3466666666666667,0.3377429229053461,0.22924600152322927,0.47821446892710573,0.9733333333333334,6.753333333333333,0.7166666666666667
svm,tfidf,15,0.6166666666666667,0.4513105567463754,0.39451728247914186,0.4963413417692658,0.5333333333333333,3.6766666666666667,0.8566666666666667
logreg,structured,15,0.3433333333333333,0.3196634770157683,0.22403433476394852,0.4764113494234903,0.92,6.3966666666666665,0.7666666666666667
logreg,tfidf,15,0.5366666666666666,0.44528414143395806,0.39756592292089254,0.5369871058888671,0.63,4.373333333333333,0.8466666666666667
random_forest,structured,15,0.6133333333333333,0.41919387427101984,0.3183023872679045,0.4564095987232102,0.5366666666666666,3.71,0.86
random_forest,tfidf,15,0.6866666666666666,0.3812618526622903,0.2705479452054794,0.4066306755260244,0.44333333333333336,3.026666666666667,0.8733333333333333
lightgbm,structured,15,0.59,0.3647973554223554,0.29024081115335865,0.3705815174907172,0.58,4.02,0.8366666666666667
lightgbm,tfidf,15,0.6933333333333334,0.37093462093462093,0.3633333333333333,0.36945068725164487,0.4166666666666667,2.8766666666666665,0.89
baseline_majority,-,16,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,16,0.49333333333333335,0.2614485513125052,-0.016797312430011146,0.2611983746987167,0.82,5.566666666666666,0.72
svm,structured,16,0.3466666666666667,0.3494312704839021,0.24557351809083916,0.5315156585890171,0.96,6.633333333333334,0.7233333333333334
svm,tfidf,16,0.6033333333333334,0.4260148321623731,0.37245508982035924,0.45412656341606406,0.5466666666666666,3.7733333333333334,0.8633333333333333
logreg,structured,16,0.30333333333333334,0.2962613697164259,0.1711568938193344,0.46170546707054916,1.0233333333333334,7.04,0.7066666666666667
logreg,tfidf,16,0.5033333333333333,0.4008515030318669,0.34302325581395354,0.47274302162725557,0.69,4.793333333333333,0.8333333333333334
random_forest,structured,16,0.6133333333333333,0.41380944235374617,0.22935779816513757,0.4665926690443619,0.5733333333333334,3.9233333333333333,0.83
random_forest,tfidf,16,0.6766666666666666,0.35627686733382524,0.2596491228070176,0.366327926519445,0.45,3.07,0.8733333333333333
lightgbm,structured,16,0.59,0.37521335539990386,0.18069306930693074,0.3664892555859553,0.6233333333333333,4.306666666666667,0.8133333333333334
lightgbm,tfidf,16,0.6566666666666666,0.31318336023756294,0.1704745166959578,0.3136679817275747,0.4866666666666667,3.3233333333333333,0.8633333333333333
baseline_majority,-,17,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1633333333333336,0.8566666666666667
baseline_random,-,17,0.5133333333333333,0.2643644498536524,0.06424967166655138,0.26211131824604156,0.7033333333333334,4.8566666666666665,0.8166666666666667
svm,structured,17,0.39666666666666667,0.37706415286702916,0.3405172413793103,0.5005667281128388,0.84,5.883333333333334,0.7866666666666666
svm,tfidf,17,0.61,0.45087782973102297,0.29740134744947067,0.4678041151577639,0.58,3.933333333333333,0.8166666666666667
logreg,structured,17,0.37,0.33610016301768436,0.28371972967899384,0.46069788271071355,0.8566666666666667,5.956666666666667,0.7966666666666666
logreg,tfidf,17,0.5133333333333333,0.4138182831661092,0.2735166807432432,0.4801254612802327,0.7166666666666667,4.92,0.7933333333333333
random_forest,structured,17,0.6,0.36076758973189416,0.24980061145819488,0.36890094668763473,0.59,4.013333333333334,0.8266666666666667
random_forest,tfidf,17,0.69,0.4041444764448449,0.31007922535211263,0.40773614249957474,0.43666666666666665,2.973333333333333,0.8766666666666667
lightgbm,structured,17,0.6,0.3486710323574731,0.1734452899501443,0.3401514283631365,0.62,4.28,0.81
lightgbm,tfidf,17,0.7,0.3847358064702819,0.2744154057771665,0.3720079706446988,0.43,2.9466666666666668,0.8766666666666667
baseline_majority,-,18,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,18,0.54,0.33669063665398774,0.19794088342743266,0.34006046329372314,0.6533333333333333,4.446666666666666,0.8233333333333334
svm,structured,18,0.35333333333333333,0.34839732215280683,0.2378902045209904,0.4859845447255231,0.9266666666666666,6.493333333333333,0.7633333333333333
svm,tfidf,18,0.6133333333333333,0.4878189016299716,0.3910561370123692,0.5435891106187317,0.5333333333333333,3.66,0.8666666666666667
logreg,structured,18,0.36333333333333334,0.3303131305331155,0.2536361316662413,0.49102830559576754,0.8766666666666667,6.1,0.7966666666666666
logreg,tfidf,18,0.49,0.41421356421356414,0.3190868064773029,0.5222839197190139,0.7066666666666667,4.88,0.8233333333333334
random_forest,structured,18,0.6166666666666667,0.4135449283154752,0.3745821751521763,0.43686584816546725,0.5166666666666667,3.5933333333333333,0.87
random_forest,tfidf,18,0.6966666666666667,0.431902667387853,0.3368642213078876,0.4268613178120997,0.42,2.8733333333333335,0.8933333333333333
lightgbm,structured,18,0.58,0.3566506809888833,0.29350772567091354,0.35439283175725633,0.5866666666666667,4.05,0.8366666666666667
lightgbm,tfidf,18,0.6766666666666666,0.4074613534719158,0.3369667839670415,0.3910743739520303,0.44,3.026666666666667,0.89
baseline_majority,-,19,0.6766666666666666,0.20178926441351888,0.0,0.25,0.4666666666666667,3.1566666666666667,0.8566666666666667
baseline_random,-,19,0.47333333333333333,0.24772615708274895,0.0032294124953421433,0.2479282257938533,0.8133333333333334,5.526666666666666,0.7333333333333333
svm,structured,19,0.31333333333333335,0.33391223187618785,0.30814644746012876,0.5072802973890584,0.94,6.64,0.7733333333333333
svm,tfidf,19,0.5866666666666667,0.4311657695374801,0.3006116514589391,0.48849796329372314,0.5766666666666667,3.9466666666666668,0.85
logreg,structured,19,0.34,0.3337781006628837,0.2761667421839601,0.515897813844135,0.8933333333333333,6.263333333333334,0.7966666666666666
logreg,tfidf,19,0.51,0.4194848324491196,0.31965442764578844,0.5209541861506577,0.67,4.623333333333333,0.83
random_forest,structured,19,0.5833333333333334,0.35180688876341054,0.27058690999211443,0.36865823756235744,0.5633333333333334,3.89,0.8566666666666667
random_forest,tfidf,19,0.66,0.3099658107223394,0.2513580017642417,0.31644778637561316,0.4633333333333333,3.1633333333333336,0.88
lightgbm,structured,19,0.5866666666666667,0.32497559279052796,0.21221649829397216,0.322323088399171,0.6133333333333333,4.23,0.8166666666666667
lightgbm,tfidf,19,0.6566666666666666,0.34755628550621565,0.26575236123689994,0.3466438771232777,0.4766666666666667,3.276666666666667,0.8733333333333333
baseline_majority,-,20,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,20,0.5,0.25163259755359463,0.00903225806451613,0.2504753354830304,0.74,5.06,0.79
svm,structured,20,0.31,0.3191143853912027,0.23226288274831963,0.4987704384079213,1.0066666666666666,6.97,0.72
svm,tfidf,20,0.56,0.40751082585265075,0.23718712753277715,0.47074294834212754,0.64,4.41,0.8133333333333334
logreg,structured,20,0.31333333333333335,0.30837462696780243,0.19405450041288197,0.50640634160641,0.98,6.736666666666666,0.7366666666666667
logreg,tfidf,20,0.44666666666666666,0.3658703248521157,0.24924318869828455,0.4691897107680281,0.7666666666666667,5.316666666666666,0.81
random_forest,structured,20,0.5966666666666667,0.3755172006456253,0.29166666666666663,0.41466201306103834,0.55,3.77,0.8566666666666667
random_forest,tfidf,20,0.6766666666666666,0.34933736489963974,0.22775800711743777,0.3556486548107615,0.45666666666666667,3.1066666666666665,0.8666666666666667
lightgbm,structured,20,0.59,0.34950327450327456,0.15020297699594043,0.3434517702429809,0.6133333333333333,4.183333333333334,0.81
lightgbm,tfidf,20,0.6666666666666666,0.3605612778026571,0.26586620926243565,0.35855919402644776,0.46,3.16,0.8733333333333333
baseline_majority,-,21,0.68,0.20238095238095238,0.0,0.25,0.4633333333333333,3.1366666666666667,0.8566666666666667
baseline_random,-,21,0.48333333333333334,0.23479976323654306,-0.07711138310893517,0.23517095791805093,0.8066666666666666,5.483333333333333,0.75
svm,structured,21,0.3233333333333333,0.32508242583625646,0.275,0.47262698684124815,0.9833333333333333,6.81,0.7166666666666667
